
"KEY","","EN","CN","ZH","JP","KR","TH","IN"
"Main Wallet","","","","","","","",""
"bnt_balance","","Balance","余额","餘額","剰余","밸런스","สมดุล","संतुलन"
"bnt_lvsum","","Combo Level","资本级别","資本級別","コンボレベル","콤보 레벨","ระดับ Combo","कॉम्बो स्तर"
"bnt_node_num","","Node Count","节点数","節點數","ノード数","노드 카운트","จำนวนโหนด","नोड गणना"
"bnt_lvfreeze","","Crystal Level","晶体级别","晶體級別","クリスタルレベル","크리스탈 수준","ระดับคริสตัล","क्रिस्टल स्तर"
"bnt_deal","","Deal","成交","成交","対処","거래","จัดการ","सौदा"
"bnt_price_plan","","Price Plan","价格表","價格表","料金プラン","가격 계획","ราคาตามแผน","मूल्य योजना"
"bnt_share","","Share","分享","分享","シェア","공유","หุ้น","शेयर"
"bnt_welcome","","Welcome","欢迎","歡迎","ようこそ","어서 오십시오","ยินดีต้อนรับ","स्वागत हे"
"bnt_invcode","","Referral Code","推荐码","推薦碼","紹介コード","추천 코드","รหัสอ้างอิง","रेफरल कोड"
"bnt_all_income","","All Income","所有收入","所有收入","すべての収入","모든 소득","รายได้ทั้งหมด","सभी आय"
"bnt_all_wage","","All Wagers","所有赌注","所有賭注","すべての賭け","모든 베팅","เดิมพันทั้งหมด","सभी दांव"
"bnt_confirm","","I confirm and sign","我确认并签字","我確認並簽字","確認して署名します","내가 확인 및 서명","ผมยืนยันและเข้าสู่ระบบ","मैं इस बात की पुष्टि और संकेत"
"bnt_boardcast","","sign & commit transaction...","签署并提交交易...","簽署並提交交易...","トランザクションに署名してコミットします。","서명 및 트랜잭션을 커밋 ...","ลงชื่อเข้าใช้และกระทำธุรกรรม ...","हस्ताक्षर और लेन-देन के लिए प्रतिबद्ध ..."
"bnt_main","","Home","主页","主頁","家","집","บ้าน","घर"
"bnt_ninvest","","New Invest","新投资","新投資","新投資","새로운 투자","การลงทุนใหม่","नए निवेश"
"bnt_oinvest","","Catch Up","赶上投资","趕上投資","追いつく","잡아라","ตามทัน","पकड़ो"
"bnt_trxn","","Transaction Status","交易状态","交易狀態","トランザクションのステータス","거래 상태","สถานะการทำธุรกรรม","लेन-देन स्थिति"
"bnt_askcode","","Ask for the Code","询问邀请码","詢問邀請碼","コードを求めます","코드 요청","ขอรหัส","कोड के लिए पूछें"
"bnt_bicode","","Invite Code","邀请码","邀請碼","招待コード","코드를 초대","เชิญรหัส","निमंत्रण कोड"
"bnt_bet","","add fund","增加资金","增加資金","追加資金","추가 기금","กองทุนเพิ่ม","ऐड निधि"
"bnt_prin","","Principal","本金","本金","主要な","주요한","หลัก","प्रधान अध्यापक"
"Notification Pag","","","","","","","",""
